"time","value"
"1",-0.865576639342701
"2",0.0666486511759403
"3",1.41544314224219
"4",1.34978933914018
"5",1.12869745607879
"6",2.23767024624325
"7",1.14189686352011
"8",0.428456041265479
"9",0.571066091055727
"10",-0.182762447109028
"11",-0.554901382628518
"12",-0.743831328539468
"13",0.41819100922329
"14",0.306925629347611
"15",-0.248534390865764
"16",-0.57539734966627
"17",0.782633759952827
"18",1.04975817343099
"19",2.03109343015571
"20",1.6452458711654
"21",2.19584471788903
"22",1.23889297374862
"23",1.058935780243
"24",1.95050751563326
"25",1.4992429122648
"26",0.775566730847092
"27",-0.296908945189239
"28",-2.05171463479198
"29",-1.2951974919477
"30",-0.830254222252316
"31",1.62746027244575
"32",1.27832984293925
"33",1.84507247542832
"34",2.24776755650258
"35",0.956526369442371
"36",-0.0519845709523906
"37",1.47457607860227
"38",1.0694082438558
"39",1.93706165198729
"40",1.23454095719173
"41",1.16844450306332
"42",0.527287666841624
"43",0.620009085564146
"44",0.667866302032179
"45",-0.0397957455338806
"46",1.19316165745861
"47",1.53070294266611
"48",-0.857954386723611
"49",-2.55833504191994
"50",-4.06474237964115
"51",-4.29542442283214
"52",-1.78464618824553
"53",-1.35522849589597
"54",-3.17888400433817
"55",-1.2984316911061
"56",-0.813291280720751
"57",-0.153695262686086
"58",0.601750511713019
"59",-0.474263827010495
"60",0.348148253678963
"61",0.577490314894358
"62",-1.6869274136712
"63",-1.58800936937973
"64",-0.797614294962223
"65",-0.063844334659455
"66",-0.0187256385442262
"67",-0.0764513847570941
"68",-1.58320193346617
"69",-1.61625208358114
"70",-2.24762394667548
"71",-1.25254384034404
"72",-1.21477599756389
"73",0.180279656446749
"74",-0.0440316478990907
"75",-0.277406949192373
"76",1.56918280410112
"77",0.112189783689562
"78",-0.206268254451771
"79",-1.36832238214207
"80",-0.832654334205866
"81",-0.216754481430017
"82",-1.27896647510806
"83",-0.130129445168548
"84",-0.263490148514903
"85",-0.542958940482943
"86",-0.649386078011728
"87",-1.56065514938137
"88",0.0826026220825579
"89",-0.506247617969257
"90",-0.704794945504976
"91",0.901168397539554
"92",-0.570622629415325
"93",-0.072689818277575
"94",-0.173726538376071
"95",-1.03813288253003
"96",-0.846024035167021
"97",-0.566818022787975
"98",0.524286005220368
"99",-0.255144316079765
"100",-0.999973026306887
"101",-0.894034761599942
"102",-0.21141587774301
"103",0.740733385702686
"104",1.47396002151147
"105",2.59793584815081
"106",1.20454628421173
"107",0.604577536953382
"108",0.924373409172987
"109",0.711282053127612
"110",0.458017660099156
"111",0.887431841043873
"112",1.24880063093846
"113",0.968770584104251
"114",1.74472421687515
"115",0.63340469783729
"116",0.869977837264614
"117",1.07496340000024
"118",-0.162726025423309
"119",0.801732767786462
"120",-0.00598406610558163
"121",0.691211254191166
"122",1.30439006522685
"123",1.7456118774055
"124",1.15420163294321
"125",0.967436063435739
"126",0.476332071884965
"127",2.68461894407821
"128",2.4134991660162
"129",1.32225343308625
"130",1.40076938165968
"131",0.760658898748922
"132",1.08328073637647
"133",1.07689314966913
"134",3.09528370801476
"135",2.77389245396743
"136",1.93939798547116
"137",1.02323696620845
"138",2.94303291974519
"139",1.8162569216731
"140",1.17035445184456
"141",0.725514356968688
"142",0.018965372104487
"143",-0.347768470989323
"144",-0.950318451382057
"145",0.51404435534927
"146",0.177861690515856
"147",1.90220751508739
"148",0.462807900547771
"149",2.20066381440159
"150",-0.0630312307067373
"151",-0.679185232369034
"152",0.466555682777272
"153",0.036522221054221
"154",-1.6144195331272
"155",0.574608321227146
"156",-1.40437270113416
"157",-0.454794020879434
"158",-0.310913090051098
"159",-0.0990484285512706
"160",-2.39349885283412
"161",-0.664404022107965
"162",-0.913213238029438
"163",-1.94710031551534
"164",-1.22630018984758
